No.,级别,类别,类别名称,细目,语法内容,例句
135,二级,句子的类型,特殊句式,“是……的”句1,强调时间、地点、方式、动作者,"我是去年九月来中国的。
我们是在北京认识的。
他们是坐飞机去上海的。
今天的晚饭是我做的。"
136,二级,句子的类型,特殊句式,兼语句1,表使令：主语+请/叫/让……+宾语1+动词+宾语2,"妈妈叫我去超市买水果。
我想请老师教我中文。
老师让我们介绍一下自己的爱好。"
137,二级,句子的类型,特殊句式,双宾语句2,主语+动词+给+宾语1+宾语2,"爸爸送给我一个新手机。
他卖给我一本中文书。"
138,二级,句子的类型,复句,选择复句,（是）……，还是……,"你（是）喝茶，还是喝咖啡？
你（是）喜欢白色的，还是黑色的？"
139,二级,句子的类型,复句,转折复句,虽然……，但是……,"虽然学习的时间不长，但是他汉语说得很好。
学汉语虽然难，但是很有意思。"
140,二级,句子的类型,复句,因果复句,因为……，所以……,"因为机票太贵了，所以我准备坐火车去。
因为我爸爸在中国工作，所以我来这儿学习中文。"
141,二级,句子的类型,复句,紧缩复句,一……就……,"他一下课就去打篮球了。
我一到商场就想买东西。"
142,二级,动作的态,,持续态,动词+着：表示状态的持续,"门开着，你进去吧。
别站着，快请坐。"
143,二级,动作的态,,持续态,动词+着：表示动作的持续,"他们正吃着饭呢。
教室里正上着课呢。"
144,二级,动作的态,,经历态,用动态助词“过”表示,"你学过中文吗？
我没去过北京。"
145,二级,特殊表达法,数的表达法,,序数表示法2：数词+量词,"我的房间在三楼。
你可以坐304路公交车。"
146,二级,特殊表达法,数的表达法,,概数表达法1：用“几”表示概数,"这几件衣服你帮我洗一下。
我们学校有几百名外国学生。"
147,二级,特殊表达法,数的表达法,,概数表达法1：数词+多+量词,"教室里有二十多个学生。
那个手机五千多块钱。"
148,二级,特殊表达法,数的表达法,,概数表达法1：数词+量词+多,"我来中国已经三年多了。
王老师的儿子今年六岁多了。"
149,三级,语素,前缀,,老—,这家饭店的经理老李是我的朋友。
150,三级,语素,后缀,,—家、—子、—员,"你听说过这个画家吗？
屋子有点儿小，可是很干净。
她以前是一名羽毛球运动员。"
151,三级,词类,名词,方位名词,东、南、西、北、北方、东方、南方、西方、中间,"我听说北方的冬天很冷。
中国的北方和南方我都去过。
你们两个人中间的那个人是谁？
东方人和西方人的生活习惯不太一样。"
152,三级,词类,动词,能愿动词,需要、该、应该、愿意、得,"从这儿过去，大概需要多长时间？
医生说我感冒了，需要吃药。
已经十一点了，你该睡觉了。
你学了一天了，该休息休息了。
我们应该多练习说中文。
我要去动物园，应该怎么坐车呢？
你愿意帮我学习汉语吗？
我很愿意参加这次汉语比赛。
要上课了，咱们得快点儿走。
我明天有考试，今天得认真复习。"
153,三级,词类,动词,离合词,动宾式离合词：放假、见面、结婚、洗澡,"我放了假就准备去旅游。
我们已经很长时间没见过面了。
结了婚以后，你还打算工作吗？
你先去洗个澡，休息一会儿。"
154,三级,词类,动词,离合词,动补式离合词：打开、看见、离开、完成、分开,"我打不开这瓶水，你能帮帮我吗？
黑板上的字你看得见吗？
他已经离不开这个地方了。
今天的作业我可能完不成了。
我的中文越来越好，跟老师的帮助是分不开的。"
155,三级,词类,代词,疑问代词,怎样,"怎样才能学好中文呢？
他是怎样一个人？"
156,三级,词类,代词,疑问代词,疑问代词的非疑问用法：任指用法：①疑问代词+都……    ②疑问代词+疑问代词,"这次旅行谁都可以参加。
我最近感冒了，哪儿都没去。
谁感兴趣谁就去参加。
你想吃什么就点什么吧。"
157,三级,词类,代词,疑问代词,疑问代词的非疑问用法：不定指用法,"我好像在哪儿见过她。
你先吃点儿什么再走吧。
我下周搬家，想请谁来帮帮忙。
咱们哪天一起去踢足球吧。"
158,三级,词类,代词,人称代词,别人、咱们,"我不太清楚，你问问别人吧。
别人能学好，我也一定能学好。
咱们明天一起去动物园，怎么样？
要迟到了，咱们快走吧。"
159,三级,词类,代词,指示代词,别的、其他,"除了北京，你还去过别的城市吗？
我喜欢学习别的国家的语言和文化。
其他同学都回国了，只有我还在中国。
除了看足球比赛，你还有其他爱好吗？"
160,三级,词类,量词,名量词,专用名量词：把、双、张、种、层、封、页、辆、节、所、班、段、头、句公斤、斤、角、毛、刻、米,"下雨了，记得带一把伞。
我在网上买了两双鞋。
桌子上放着几张照片。
这里有多少种水果？
我们的教室在四层。
我想给我的爸爸妈妈写一封信。
请大家打开书，第五页。
那辆黑色的自行车是我的。
我每周都有一节中文课。
这个城市一共有三所大学。
咱们坐下一班地铁走吧。
请大家用这些词写一段话。
爷爷家里养了十几头牛。
这句话是什么意思？
苹果多少钱一斤/公斤？
这些一共八块五角（毛）钱。
现在八点一刻。
我哥哥身高一米八五。"
161,三级,词类,量词,名量词,借用名量词：碗、盘,"我要一碗面条和一碗米饭。
中午我在食堂吃了一盘饺子。"
162,三级,词类,量词,动量词,口、回、遍、声,"他喝了一口茶，然后开始工作。
我已经说过好几回了，但他还是不记得。
对不起，我没听懂，请再说一遍。
她跟我说了一声“谢谢”就走了。"
163,三级,词类,量词,量词重叠,个个、张张,"这些苹果个个都很大。
他画的画，张张都很漂亮。"
164,三级,词类,副词,程度副词,比较、还3、更、特别、挺、有些、越、极,"这本书的内容比较简单，我读得很快。
外面太热了，屋子里还凉快一些。
搬家以后，我们的生活更方便了。
我弟弟特别喜欢看足球比赛。
多穿点儿衣服，外面挺冷的。
孩子这么晚还没回来，妈妈心里有些着急。
冬天快要到了，天气越来越冷了。
我对中国历史极有兴趣。
他工作特别忙，周末极少休息。"
165,三级,词类,副词,范围副词,就3、一块儿、一共、只、到处、只是,"我就要两斤苹果，不要别的。
办公室里就张老师一个人。
你跟我一块儿去图书馆，好吗？
我们经常一块儿踢足球。
你们班一共有多少留学生？
这些水果一共多少钱？
我只有一个哥哥，没有弟弟妹妹。
她只说了自己的名字，没说别的。
公园里到处都是锻炼身体的老人。
她只是笑了笑，一句话也没说。"
166,三级,词类,副词,时间副词,才1、马上、先、一会儿、刚、刚刚、一直,"他才到家，还没有吃饭呢。
我才搬来北京，还不太习惯这里的生活
请等一下，我马上来。
接了电话，她马上就跑出去了。
你先走吧，我还有工作要做。
我想先洗个澡，然后再写作业。
最近天气变化很快，一会儿阴，一会儿晴。
他刚开始学汉语，说得还不太好。
报纸是早上刚送来的。
刚刚还是晴天，怎么突然下雨了？
他不在，刚刚出去。
我一直都住在北京。
别出去了，外面一直在下雨。"
167,三级,词类,副词,频率副词,总、总是、又、常常,"一到冬天，孩子就总生病。
上学的时候，我总是让爸爸开车送我。
那个电影太有意思了，我昨天又看了一遍。
下课以后，我常常去体育馆打篮球。"
168,三级,词类,副词,关联副词,一边,"孩子们高兴地一边唱歌一边跳舞。
我想找一个工作，一边工作一边学习。"
